Element,Model,R2,RMSE,MAE,BestParams
B,Ridge+AtomCtx,-0.2540650404841478,21.04716288812779,16.231458501814885,{'ridge__alpha': 0.1}
B,RF+AtomCtx,0.49477896134736044,13.35900908615103,10.835160241980242,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
C,Ridge+AtomCtx,0.2788341800118518,43.75347381041058,33.58499181165935,{'ridge__alpha': 1.0}
C,RF+AtomCtx,0.34648078550891126,41.65087721966198,30.953331098945213,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
F,Ridge+AtomCtx,-0.9907594775426563,97.42622948583976,58.187835795903545,{'ridge__alpha': 10.0}
F,RF+AtomCtx,0.08993512670136938,65.87227686934342,32.91886685690944,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
H,Ridge+AtomCtx,-0.243224915196955,29.87039398298021,16.73674154904268,{'ridge__alpha': 10.0}
H,RF+AtomCtx,-0.14949342829453882,28.722308640091402,12.348277120140915,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
N,Ridge+AtomCtx,0.10840005983667689,56.41121070425321,45.73447194031304,{'ridge__alpha': 100.0}
N,RF+AtomCtx,0.26057374785961185,51.37216137076759,40.743090946174924,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
O,Ridge+AtomCtx,0.12625654252341534,78.08444047206345,62.378755614133766,{'ridge__alpha': 1.0}
O,RF+AtomCtx,0.10665906570636685,78.95527517535785,61.11876815744012,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
P,Ridge+AtomCtx,0.2409036373036385,43.33719115303928,29.669764665139144,{'ridge__alpha': 100.0}
P,RF+AtomCtx,0.49728445414038513,35.26740150627633,20.973458695794605,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
